against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1469,221,265,0,2221,208,326,16,5,Sydney,151.191286589517,22,68,1,17
1554,192,285,0,2235,227,325,7,5,Geelong,143.822393822394,22,68,2,17
1800,222,262,0,2134,263,312,10,5,Hawthorn,118.555555555556,22,68,3,17
1663,223,274,0,2380,240,351,9,6,"Greater Western Sydney",143.114852675887,22,64,4,16
1795,235,305,0,2483,260,363,1,6,Adelaide,138.328690807799,22,64,5,16
1678,238,243,0,2181,240,323,17,6,"West Coast",129.976162097735,22,64,6,16
1609,187,249,0,1857,237,268,18,7,"Western Bulldogs",115.413300186451,22,60,7,15
1859,275,252,0,1956,264,284,12,10,"North Melbourne",105.217859064013,22,48,8,12
2041,241,237,0,1953,300,286,15,10,"St Kilda",95.6883880450759,22,48,9,12
1939,289,255,0,2055,275,300,13,12,"Port Adelaide",105.982465188241,22,40,10,10
1991,263,228,0,1944,288,286,11,12,Melbourne,97.6393771973882,22,40,11,10
1998,234,254,0,1910,294,276,4,13,Collingwood,95.5955955955956,22,36,12,9
2155,271,231,0,1713,314,247,14,14,Richmond,79.4895591647332,22,32,13,8
1978,256,224,0,1568,287,224,3,15,Carlton,79.2719919110212,22,28,14,7
2273,305,230,0,1778,328,258,8,16,"Gold Coast",78.2226132864056,22,24,15,6
2119,283,212,0,1574,306,227,6,18,Fremantle,74.2803209060878,22,16,16,4
2872,298,246,0,1770,429,254,2,19,"Brisbane Lions",61.6295264623955,22,12,17,3
2356,256,237,0,1437,350,200,5,19,Essendon,60.9932088285229,22,12,18,3
