against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1791,273,302,0,2558,253,376,16,7,Sydney,142.825237297599,26,68,19
1734,210,310,0,2380,254,345,7,6,Geelong,137.254901960784,24,68,18
1992,246,285,0,2301,291,336,10,7,Hawthorn,115.512048192771,24,68,17
1807,247,304,0,2554,260,375,9,7,"Greater Western Sydney",141.339236303265,24,64,17
1992,252,330,0,2706,290,396,1,7,Adelaide,135.843373493976,24,64,17
1777,253,253,0,2233,254,330,17,7,"West Coast",125.661226786719,23,64,16
1895,227,297,0,2241,278,324,18,7,"Western Bulldogs",118.258575197889,26,60,19
2000,290,259,0,2035,285,296,12,11,"North Melbourne",101.75,23,48,12
2041,241,237,0,1953,300,286,15,10,"St Kilda",95.6883880450759,22,48,12
1939,289,255,0,2055,275,300,13,12,"Port Adelaide",105.982465188241,22,40,10
1991,263,228,0,1944,288,286,11,12,Melbourne,97.6393771973882,22,40,10
1998,234,254,0,1910,294,276,4,13,Collingwood,95.5955955955956,22,36,9
2155,271,231,0,1713,314,247,14,14,Richmond,79.4895591647332,22,32,8
1978,256,224,0,1568,287,224,3,15,Carlton,79.2719919110212,22,28,7
2273,305,230,0,1778,328,258,8,16,"Gold Coast",78.2226132864056,22,24,6
2119,283,212,0,1574,306,227,6,18,Fremantle,74.2803209060878,22,16,4
2872,298,246,0,1770,429,254,2,19,"Brisbane Lions",61.6295264623955,22,12,3
2356,256,237,0,1437,350,200,5,19,Essendon,60.9932088285229,22,12,3
