against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1843,223,338,0,3014,270,446,5,1,Essendon,163.537710255019,23,84,22
2075,239,306,0,2754,306,408,3,7,Carlton,132.722891566265,23,64,16
2246,290,295,0,2653,326,393,11,8,Melbourne,118.121104185218,23,56,15
2502,288,300,0,2520,369,370,12,9,"North Melbourne",100.719424460432,23,56,14
2398,292,271,1,2317,351,341,7,10,Geelong,96.6221851542953,23,50,12
2298,300,318,0,2712,333,399,2,10,"Brisbane Lions",118.015665796345,23,48,13
2351,281,255,0,2397,345,357,18,11,"Western Bulldogs",101.956614206721,23,48,12
2334,294,244,0,2290,340,341,10,10,Hawthorn,98.114824335904,23,48,13
2221,283,250,0,2068,323,303,14,11,Richmond,93.1112111661414,22,44,11
2219,251,256,0,2254,328,333,16,12,Sydney,101.577287066246,22,40,10
2347,265,317,0,2255,347,323,1,13,Adelaide,96.080102258202,22,36,9
2618,296,230,0,1886,387,276,6,14,Fremantle,72.0397249809015,22,32,8
2399,293,260,1,2216,351,326,17,14,"West Coast",92.3718215923301,22,30,7
2295,261,290,1,1928,339,273,13,14,"Port Adelaide",84.0087145969499,22,30,7
2431,295,283,0,2089,356,301,4,15,Collingwood,85.9317153434801,22,28,7
2631,285,223,1,1855,391,272,15,19,"St Kilda",70.5055112124667,22,10,2
