abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
15,15,105,Richmond,14,100,"2015-04-02 19:20:00",12,11,78,Carlton,3,2603,0,0,"2015-04-02 19:20:00",1,"Round 1","Full Time",+11:00,1427962800,"2018-06-26 12:18:15",M.C.G.,Richmond,14,2015
11,13,89,"Gold Coast",8,100,"2015-04-04 13:40:00",13,17,115,Melbourne,11,2604,0,0,"2015-04-04 13:40:00",1,"Round 1","Full Time",+11:00,1428115200,"2018-06-26 12:18:15",M.C.G.,Melbourne,11,2015
6,9,60,Essendon,5,100,"2015-04-04 16:35:00",12,10,72,Sydney,16,2605,0,0,"2015-04-04 16:35:00",1,"Round 1","Full Time",+11:00,1428125700,"2018-06-26 12:18:15","Stadium Australia",Sydney,16,2015
14,12,86,Collingwood,4,100,"2015-04-04 19:20:00",8,11,74,"Brisbane Lions",2,2606,0,0,"2015-04-04 18:20:00",1,"Round 1","Full Time",+11:00,1428135600,"2018-06-26 12:18:15",Gabba,Collingwood,4,2015
3,14,87,"West Coast",17,100,"2015-04-04 19:20:00",13,14,97,"Western Bulldogs",18,2607,0,0,"2015-04-04 19:20:00",1,"Round 1","Full Time",+11:00,1428135600,"2018-06-26 12:18:15",Docklands,"Western Bulldogs",18,2015
15,12,87,"Greater Western Sydney",9,100,"2015-04-05 13:10:00",12,11,78,"St Kilda",15,2613,0,0,"2015-04-05 13:10:00",1,"Round 1","Full Time",+10:00,1428203400,"2018-06-26 12:18:15",Docklands,"Greater Western Sydney",9,2015
9,9,63,"North Melbourne",12,100,"2015-04-05 15:20:00",14,21,140,Adelaide,1,2614,0,0,"2015-04-05 14:50:00",1,"Round 1","Full Time",+10:00,1428211200,"2018-06-26 12:18:15","Adelaide Oval",Adelaide,1,2015
8,10,68,"Port Adelaide",13,100,"2015-04-05 18:40:00",9,11,75,Fremantle,6,2615,0,0,"2015-04-05 16:40:00",1,"Round 1","Full Time",+10:00,1428223200,"2018-06-26 12:18:15",Subiaco,Fremantle,6,2015
13,8,61,Geelong,7,100,"2015-04-06 15:20:00",21,17,123,Hawthorn,10,2616,0,0,"2015-04-06 15:20:00",1,"Round 1","Full Time",+10:00,1428297600,"2018-06-26 12:18:15",M.C.G.,Hawthorn,10,2015
8,9,62,Carlton,3,100,"2015-04-10 20:10:00",11,20,131,"West Coast",17,2617,0,0,"2015-04-10 18:10:00",2,"Round 2","Full Time",+10:00,1428660600,"2018-06-26 12:18:15",Subiaco,"West Coast",17,2015
